BehaviorSpace results (NetLogo 6.1.1)
tp_Melhorado.nlogo
hipotese3_e5_d5_20/20
11/12/2021 13:07:35:178 +0000
"min-pxcor,""max-pxcor"",""min-pycor"",""max-pycor"""
"-16,""16"",""-16"",""16"""
"[reporter],""count comiloes"",""count limpadores"",""ticks"",""count comiloes"",""count limpadores"",""ticks"",""count comiloes"",""count limpadores"",""ticks"",""count comiloes"",""count limpadores"",""ticks"",""count comiloes"",""count limpadores"",""ticks"",""count comiloes"",""count limpadores"",""ticks"",""count comiloes"",""count limpadores"",""ticks"",""count comiloes"",""count limpadores"",""ticks"",""count comiloes"",""count limpadores"",""ticks"",""count comiloes"",""count limpadores"",""ticks"",""count comiloes"",""count limpadores"",""ticks"",""count comiloes"",""count limpadores"",""ticks"",""count comiloes"",""count limpadores"",""ticks"",""count comiloes"",""count limpadores"",""ticks"",""count comiloes"",""count limpadores"",""ticks"",""count comiloes"",""count limpadores"",""ticks"",""count comiloes"",""count limpadores"",""ticks"",""count comiloes"",""count limpadores"",""ticks"",""count comiloes"",""count limpadores"",""ticks"",""count comiloes"",""count limpadores"",""ticks"",""count comiloes"",""count limpadores"",""ticks"",""count comiloes"",""count limpadores"",""ticks"",""count comiloes"",""count limpadores"",""ticks"",""count comiloes"",""count limpadores"",""ticks"",""count comiloes"",""count limpadores"",""ticks"",""count comiloes"",""count limpadores"",""ticks"",""count comiloes"",""count limpadores"",""ticks"",""count comiloes"",""count limpadores"",""ticks"",""count comiloes"",""count limpadores"",""ticks"",""count comiloes"",""count limpadores"",""ticks"",""count comiloes"",""count limpadores"",""ticks"",""count comiloes"",""count limpadores"",""ticks"",""count comiloes"",""count limpadores"",""ticks"",""count comiloes"",""count limpadores"",""ticks"",""count comiloes"",""count limpadores"",""ticks"",""count comiloes"",""count limpadores"",""ticks"",""count comiloes"",""count limpadores"",""ticks"",""count comiloes"",""count limpadores"",""ticks"",""count comiloes"",""count limpadores"",""ticks"",""count comiloes"",""count limpadores"",""ticks"",""count comiloes"",""count limpadores"",""ticks"",""count comiloes"",""count limpadores"",""ticks"",""count comiloes"",""count limpadores"",""ticks"",""count comiloes"",""count limpadores"",""ticks"",""count comiloes"",""count limpadores"",""ticks"",""count comiloes"",""count limpadores"",""ticks"",""count comiloes"",""count limpadores"",""ticks"",""count comiloes"",""count limpadores"",""ticks"",""count comiloes"",""count limpadores"",""ticks"",""count comiloes"",""count limpadores"",""ticks"""
"[final],""0"",""19"",""999"",""0"",""19"",""999"",""0"",""19"",""999"",""0"",""17"",""999"",""0"",""20"",""999"",""0"",""18"",""999"",""0"",""20"",""999"",""0"",""19"",""999"",""0"",""18"",""999"",""0"",""19"",""999"",""0"",""20"",""999"",""0"",""20"",""999"",""0"",""20"",""999"",""1"",""20"",""999"",""0"",""20"",""999"",""0"",""20"",""999"",""1"",""20"",""999"",""1"",""20"",""999"",""1"",""20"",""999"",""0"",""19"",""999"",""7"",""20"",""999"",""4"",""20"",""999"",""5"",""20"",""999"",""7"",""20"",""999"",""7"",""20"",""999"",""4"",""20"",""999"",""5"",""20"",""999"",""6"",""20"",""999"",""9"",""20"",""999"",""6"",""20"",""999"",""9"",""20"",""999"",""16"",""19"",""999"",""9"",""19"",""999"",""11"",""20"",""999"",""8"",""20"",""999"",""13"",""20"",""999"",""14"",""20"",""999"",""7"",""20"",""999"",""12"",""20"",""999"",""13"",""20"",""999"",""15"",""20"",""999"",""14"",""20"",""999"",""15"",""20"",""999"",""12"",""20"",""999"",""16"",""20"",""999"",""14"",""20"",""999"",""14"",""20"",""999"",""14"",""20"",""999"",""14"",""20"",""999"",""15"",""20"",""999"""
"[min],""0"",""19"",""0"",""0"",""19"",""0"",""0"",""19"",""0"",""0"",""17"",""0"",""0"",""20"",""0"",""0"",""18"",""0"",""0"",""20"",""0"",""0"",""19"",""0"",""0"",""18"",""0"",""0"",""19"",""0"",""0"",""20"",""0"",""0"",""20"",""0"",""0"",""20"",""0"",""1"",""20"",""0"",""0"",""20"",""0"",""0"",""20"",""0"",""1"",""20"",""0"",""1"",""20"",""0"",""1"",""20"",""0"",""0"",""19"",""0"",""7"",""20"",""0"",""4"",""20"",""0"",""5"",""20"",""0"",""7"",""20"",""0"",""7"",""20"",""0"",""4"",""20"",""0"",""5"",""20"",""0"",""6"",""20"",""0"",""9"",""20"",""0"",""6"",""20"",""0"",""9"",""20"",""0"",""16"",""19"",""0"",""9"",""19"",""0"",""11"",""20"",""0"",""8"",""20"",""0"",""13"",""20"",""0"",""14"",""20"",""0"",""7"",""20"",""0"",""12"",""20"",""0"",""13"",""20"",""0"",""15"",""20"",""0"",""14"",""20"",""0"",""15"",""20"",""0"",""12"",""20"",""0"",""16"",""20"",""0"",""14"",""20"",""0"",""14"",""20"",""0"",""14"",""20"",""0"",""14"",""20"",""0"",""15"",""20"",""0"""
"[max],""20"",""20"",""999"",""20"",""20"",""999"",""20"",""20"",""999"",""20"",""20"",""999"",""20"",""20"",""999"",""20"",""20"",""999"",""20"",""20"",""999"",""20"",""20"",""999"",""20"",""20"",""999"",""20"",""20"",""999"",""20"",""20"",""999"",""20"",""20"",""999"",""20"",""20"",""999"",""20"",""20"",""999"",""20"",""20"",""999"",""20"",""20"",""999"",""20"",""20"",""999"",""20"",""20"",""999"",""20"",""20"",""999"",""20"",""20"",""999"",""20"",""20"",""999"",""20"",""20"",""999"",""20"",""20"",""999"",""20"",""20"",""999"",""20"",""20"",""999"",""20"",""20"",""999"",""20"",""20"",""999"",""20"",""20"",""999"",""20"",""20"",""999"",""20"",""20"",""999"",""20"",""20"",""999"",""20"",""20"",""999"",""20"",""20"",""999"",""20"",""20"",""999"",""20"",""20"",""999"",""20"",""20"",""999"",""20"",""20"",""999"",""20"",""20"",""999"",""20"",""20"",""999"",""20"",""20"",""999"",""20"",""20"",""999"",""20"",""20"",""999"",""20"",""20"",""999"",""20"",""20"",""999"",""20"",""20"",""999"",""20"",""20"",""999"",""20"",""20"",""999"",""20"",""20"",""999"",""20"",""20"",""999"",""20"",""20"",""999"""
"[mean],""3.665"",""19.354"",""499.5"",""3.2"",""19.219"",""499.5"",""3.598"",""19.768"",""499.5"",""2.754"",""18.109"",""499.5"",""2.952"",""20"",""499.5"",""4.183"",""18.639"",""499.5"",""4.205"",""20"",""499.5"",""3.302"",""19.428"",""499.5"",""3.38"",""18.817"",""499.5"",""3.102"",""19.602"",""499.5"",""6.189"",""20"",""499.5"",""5.431"",""20"",""499.5"",""4.24"",""20"",""499.5"",""4.452"",""20"",""499.5"",""5.894"",""20"",""499.5"",""3.821"",""20"",""499.5"",""6.182"",""20"",""499.5"",""7.779"",""20"",""499.5"",""7.664"",""20"",""499.5"",""5.622"",""19.961"",""499.5"",""12.624"",""20"",""499.5"",""11.293"",""20"",""499.5"",""11.091"",""20"",""499.5"",""14.302"",""20"",""499.5"",""12.144"",""20"",""499.5"",""13.453"",""20"",""499.5"",""10.71"",""20"",""499.5"",""10.56"",""20"",""499.5"",""14.43"",""20"",""499.5"",""10.073"",""20"",""499.5"",""14.526"",""20"",""499.5"",""17.901"",""19.293"",""499.5"",""13.589"",""19.9"",""499.5"",""14.148"",""20"",""499.5"",""12.851"",""20"",""499.5"",""15.683"",""20"",""499.5"",""17.543"",""20"",""499.5"",""12.765"",""20"",""499.5"",""14.21"",""20"",""499.5"",""16.796"",""20"",""499.5"",""15.85"",""20"",""499.5"",""15.282"",""20"",""499.5"",""16.62"",""20"",""499.5"",""14.656"",""20"",""499.5"",""17.668"",""20"",""499.5"",""17.105"",""20"",""499.5"",""18.229"",""20"",""499.5"",""15.604"",""20"",""499.5"",""16.082"",""20"",""499.5"",""16.679"",""20"",""499.5"""
"[steps],""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"""

"[all run data],""count comiloes"",""count limpadores"",""ticks"",""count comiloes"",""count limpadores"",""ticks"",""count comiloes"",""count limpadores"",""ticks"",""count comiloes"",""count limpadores"",""ticks"",""count comiloes"",""count limpadores"",""ticks"",""count comiloes"",""count limpadores"",""ticks"",""count comiloes"",""count limpadores"",""ticks"",""count comiloes"",""count limpadores"",""ticks"",""count comiloes"",""count limpadores"",""ticks"",""count comiloes"",""count limpadores"",""ticks"",""count comiloes"",""count limpadores"",""ticks"",""count comiloes"",""count limpadores"",""ticks"",""count comiloes"",""count limpadores"",""ticks"",""count comiloes"",""count limpadores"",""ticks"",""count comiloes"",""count limpadores"",""ticks"",""count comiloes"",""count limpadores"",""ticks"",""count comiloes"",""count limpadores"",""ticks"",""count comiloes"",""count limpadores"",""ticks"",""count comiloes"",""count limpadores"",""ticks"",""count comiloes"",""count limpadores"",""ticks"",""count comiloes"",""count limpadores"",""ticks"",""count comiloes"",""count limpadores"",""ticks"",""count comiloes"",""count limpadores"",""ticks"",""count comiloes"",""count limpadores"",""ticks"",""count comiloes"",""count limpadores"",""ticks"",""count comiloes"",""count limpadores"",""ticks"",""count comiloes"",""count limpadores"",""ticks"",""count comiloes"",""count limpadores"",""ticks"",""count comiloes"",""count limpadores"",""ticks"",""count comiloes"",""count limpadores"",""ticks"",""count comiloes"",""count limpadores"",""ticks"",""count comiloes"",""count limpadores"",""ticks"",""count comiloes"",""count limpadores"",""ticks"",""count comiloes"",""count limpadores"",""ticks"",""count comiloes"",""count limpadores"",""ticks"",""count comiloes"",""count limpadores"",""ticks"",""count comiloes"",""count limpadores"",""ticks"",""count comiloes"",""count limpadores"",""ticks"",""count comiloes"",""count limpadores"",""ticks"",""count comiloes"",""count limpadores"",""ticks"",""count comiloes"",""count limpadores"",""ticks"",""count comiloes"",""count limpadores"",""ticks"",""count comiloes"",""count limpadores"",""ticks"",""count comiloes"",""count limpadores"",""ticks"",""count comiloes"",""count limpadores"",""ticks"",""count comiloes"",""count limpadores"",""ticks"",""count comiloes"",""count limpadores"",""ticks"",""count comiloes"",""count limpadores"",""ticks"",""count comiloes"",""count limpadores"",""ticks"",""count comiloes"",""count limpadores"",""ticks"""
",""20"",""20"",""0"",""20"",""20"",""0"",""20"",""20"",""0"",""20"",""20"",""0"",""20"",""20"",""0"",""20"",""20"",""0"",""20"",""20"",""0"",""20"",""20"",""0"",""20"",""20"",""0"",""20"",""20"",""0"",""20"",""20"",""0"",""20"",""20"",""0"",""20"",""20"",""0"",""20"",""20"",""0"",""20"",""20"",""0"",""20"",""20"",""0"",""20"",""20"",""0"",""20"",""20"",""0"",""20"",""20"",""0"",""20"",""20"",""0"",""20"",""20"",""0"",""20"",""20"",""0"",""20"",""20"",""0"",""20"",""20"",""0"",""20"",""20"",""0"",""20"",""20"",""0"",""20"",""20"",""0"",""20"",""20"",""0"",""20"",""20"",""0"",""20"",""20"",""0"",""20"",""20"",""0"",""20"",""20"",""0"",""20"",""20"",""0"",""20"",""20"",""0"",""20"",""20"",""0"",""20"",""20"",""0"",""20"",""20"",""0"",""20"",""20"",""0"",""20"",""20"",""0"",""20"",""20"",""0"",""20"",""20"",""0"",""20"",""20"",""0"",""20"",""20"",""0"",""20"",""20"",""0"",""20"",""20"",""0"",""20"",""20"",""0"",""20"",""20"",""0"",""20"",""20"",""0"",""20"",""20"",""0"",""20"",""20"",""0"""
",""20"",""20"",""1"",""20"",""20"",""1"",""20"",""20"",""1"",""20"",""20"",""1"",""20"",""20"",""1"",""20"",""20"",""1"",""20"",""20"",""1"",""20"",""20"",""1"",""20"",""20"",""1"",""20"",""20"",""1"",""20"",""20"",""1"",""20"",""20"",""1"",""20"",""20"",""1"",""20"",""20"",""1"",""20"",""20"",""1"",""20"",""20"",""1"",""20"",""20"",""1"",""20"",""20"",""1"",""20"",""20"",""1"",""20"",""20"",""1"",""20"",""20"",""1"",""20"",""20"",""1"",""20"",""20"",""1"",""20"",""20"",""1"",""20"",""20"",""1"",""20"",""20"",""1"",""20"",""20"",""1"",""20"",""20"",""1"",""20"",""20"",""1"",""20"",""20"",""1"",""20"",""20"",""1"",""20"",""20"",""1"",""20"",""20"",""1"",""20"",""20"",""1"",""20"",""20"",""1"",""20"",""20"",""1"",""20"",""20"",""1"",""20"",""20"",""1"",""20"",""20"",""1"",""20"",""20"",""1"",""20"",""20"",""1"",""20"",""20"",""1"",""20"",""20"",""1"",""20"",""20"",""1"",""20"",""20"",""1"",""20"",""20"",""1"",""20"",""20"",""1"",""20"",""20"",""1"",""20"",""20"",""1"",""20"",""20"",""1"""
